audit,pass,value,detail
stage6a_taxonomy_frozen,True,True,
stage2_feature_engine_valid,True,True,
raw_5m_coverage_ge_99_5,True,1.0,
all_exported_1h_complete,True,0,
dev_years_only,True,"[2023, 2024]",
raw_indicator_parity_stage2,True,9.985502008591496e-17,
event_clocks_nonnegative_and_reset,True,"{'negative': {'bull_hours_since_impulse': 0, 'bull_hours_since_break': 0, 'bull_hours_since_raw_switch': 0, 'bull_hours_since_renewal': 0, 'bull_hours_since_fresh_extreme24': 0, 'bear_hours_since_impulse': 0, 'bear_hours_since_break': 0, 'bear_hours_since_raw_switch': 0, 'bear_hours_since_renewal': 0, 'bear_hours_since_fresh_extreme24': 0}, 'reset_bad': {'bull_impulse_event->bull_hours_since_impulse': 0, 'bear_impulse_event->bear_hours_since_impulse': 0, 'bull_break_event->bull_hours_since_break': 0, 'bear_break_event->bear_hours_since_break': 0, 'bull_raw_switch_event->bull_hours_since_raw_switch': 0, 'bear_raw_switch_event->bear_hours_since_raw_switch': 0, 'bull_renewal_event->bull_hours_since_renewal': 0, 'bear_renewal_event->bear_hours_since_renewal': 0}}",
event_anchor_not_future,True,"{'bull_hours_since_impulse': 0, 'bull_hours_since_break': 0, 'bull_hours_since_raw_switch': 0, 'bull_hours_since_renewal': 0, 'bull_hours_since_fresh_extreme24': 0, 'bear_hours_since_impulse': 0, 'bear_hours_since_break': 0, 'bear_hours_since_raw_switch': 0, 'bear_hours_since_renewal': 0, 'bear_hours_since_fresh_extreme24': 0}",
pullback_ages_nonnegative,True,"{'bull': 0, 'bear': 0}",
post_reclaim_progress_not_early,True,"{'bull': {'1h_bad': 0, '3h_bad': 0, 'reclaims': 3358, 'post1': 3358, 'post3': 3358}, 'bear': {'1h_bad': 0, '3h_bad': 0, 'reclaims': 3287, 'post1': 3287, 'post3': 3287}}",
prefix_causality_all_checkpoints,True,4/4,
no_future_outcome_fields,True,[],
core_feature_coverage_ge_98pct,True,0.9999424493554327,
single_symmetric_side_feature_function,True,"side_features(z, side)",
