audit,pass,value
stage6d_failed_status_present,True,True
stage6b_valid,True,True
dev_years_only,False,"[2023, 2024, 2025]"
no_2025_2026_loaded,False,"[2023, 2024, 2025]"
direction_routing_copied_from_6d,True,"{'BULL': 9028, 'BEAR': 8516}"
future_labels_copied_from_6d,True,"{'source': 'Stage6D labels', 'relabel': False}"
2024_not_used_for_rule_fit,True,"{'fit_year': 2023, 'validation_year': 2024}"
at_least_50_eligible_candidates,True,92
candidate_names_no_future_fields,True,[]
promoted_rows_match_frozen_gates,True,[]
